specy	cohort	WRpvalue	qvalue	coefficient	kingdom
Escherichia_virus_E112	domestic	0.00714580180437829	0.0165914676357157	-0.000128068095261807	Virus
Prevotella_dentasini	wild	9.15537632860491e-05	0.0472348792017717	0.00865783115848376	Bacteria
Ralstonia_insidiosa	wild	9.37609153964495e-05	0.0283602312010384	0.000137952706032446	Bacteria
Caulobacter_flavus	wild	0.00153010600979684	0.00857133343199518	7.23064103335617e-05	Bacteria
Dietzia_cinnamea	domestic	6.70422121721894e-05	4.7124440956174e-05	-4.83156961160909e-05	Bacteria
Alcaligenes_faecalis	domestic	0.00341420612316534	0.0327530991745921	-4.93751572340262e-05	Bacteria
Corynebacterium_crenatum	domestic	6.29153745893598e-05	0.0299614125189458	-0.000150141457150131	Bacteria
Bradyrhizobium_mercantei	domestic	0.00310747941683304	0.00493696331946452	-5.4194066917814e-06	Bacteria
Mitsuokella_jalaludinii	domestic	0.0035199835700105	0.0158660285827064	-0.000392770308911133	Bacteria
Rhodopseudomonas_sp._AAP120	wild	0.00610982881335578	0.0466447533397105	1.36055582806523e-05	Bacteria
Escherichia_virus_JL1	domestic	0.00157605952561865	0.0445012352485237	-0.00160918454490483	Virus
Sanguibacter_soli	domestic	0.000579194030794473	0.0268820197171333	-8.40895008138833e-05	Bacteria
Pseudomonas_formosensis	domestic	1.75747358619939e-06	0.0436606290009036	-0.00277686355712096	Bacteria
Akkermansia_sp._KLE1798	domestic	1.03444377203781e-07	0.000114295756209655	-0.000629330720952071	Bacteria
Streptococcus_gordonii	domestic	0.00155568059578136	0.00317828499200112	-9.68737822968062e-05	Bacteria
Acinetobacter_equi	wild	5.84685115825241e-07	0.0496748231820942	0.0663319007913548	Bacteria
Bifidobacterium_merycicum	domestic	3.26549856938612e-05	2.48476628976224e-07	-0.00330570502604778	Bacteria
Streptococcus_porci	domestic	1.44269666947267e-05	0.00482519471625597	-4.92518033307655e-05	Bacteria
Streptococcus_equinus	domestic	3.6797790911034e-06	0.00156567545409942	-0.0916404367008925	Bacteria
uncultured_Blautia_sp.	domestic	0.000166338195020292	0.0140540325641142	-0.00396939504548679	Bacteria
Cytophaga_aurantiaca	wild	0.0016686722333432	0.0372077133390641	0.000207153068832383	Bacteria
Clostridium_kluyveri	domestic	0.000738552305208372	0.00334657241209048	-2.58918195367582e-05	Bacteria
Paraburkholderia_symbiotica	wild	0.00724952397694885	0.0136165446564401	4.97306430707105e-06	Bacteria
Clostridium_clostridioforme_CAG.511	domestic		0.000778074058933213	-0.000971721476326622	Bacteria
Atkinsonella_texensis	wild	0.00438790293135143	0.003721142437291	4.61605527023394e-06	Eukaryota
Coriobacteriaceae_bacterium_68.1.3	domestic		0.0267708295162921	-0.000294731770001738	Bacteria
Pseudomonas_paralactis	wild	0.00100963372215206	0.0205466928361795	0.000298068282408773	Bacteria
Brachybacterium_faecium	domestic	6.29153745893598e-05	0.0097458620781018	-1.64729118524755e-05	Bacteria
Ileibacterium_massiliense	domestic	0.00804787296865309	0.00498010673651863	-0.000339895855423813	Bacteria
Pseudomonas_lactis	wild	0.00204693835315533	0.0180993051977072	0.000829130187755161	Bacteria
Bariatricus_massiliensis	domestic	3.60681457095983e-08	0.00675690177923286	-0.000439745184279218	Bacteria
Aliicoccus_persicus	domestic	0.00882642717327337	0.0270701364176523	-0.00232668991275076	Bacteria
Anaerotruncus_sp._AT3	domestic	1.30532727379627e-07	2.46406116587682e-05	-0.00105804564775593	Bacteria
Christensenellaceae_bacterium_Phil1	domestic	0.000246334168611548	1.352591860395e-07	-0.0124347486926245	Bacteria
Candidatus_Saccharibacteria_bacterium_UBA2866	domestic	0.0013925231629669	0.0150551863669136	-0.00040078089033866	Bacteria
X.Eubacterium._hallii	domestic		0.00259656304529071	-0.00103784797754098	Bacteria
beta_proteobacterium_JGI_0001001.A11	wild		0.0452228007692992	0.00197354927052235	Bacteria
Escherichia_phage_APCEc03	domestic	0.00714580180437829	0.0425810421643812	-0.000222072900152359	Virus
Aerococcus_viridans	domestic	0.00266661668684124	0.0112045377058089	-2.43432070305543e-05	Bacteria
Lactobacillus_vini	domestic	0.00825171703299717	0.0262050008837715	-4.55087601596258e-06	Bacteria
Bifidobacterium_boum	domestic	0.000103391761292562	0.000186170678073742	-0.0039257817761836	Bacteria
Coprococcus_sp._ART55.1	domestic		0.0154584262043592	-0.000482750301048707	Bacteria
